train_error,valid_error
546.3267822265625,567.093505859375
961.914306640625,548.6078491210938
589.4716186523438,561.8511962890625
611.6685791015625,579.0154418945312
524.5587158203125,559.732666015625
501.97344970703125,559.0213623046875
611.0242919921875,562.2380981445312
662.1332397460938,559.3887939453125
646.493408203125,554.1731567382812
548.3706665039062,586.7349853515625
623.1454467773438,548.181640625
563.2967529296875,585.5523071289062
506.60028076171875,573.5891723632812
495.4111022949219,578.08837890625
574.1993408203125,586.0173950195312
614.1990966796875,576.8670043945312
652.5333862304688,550.8314208984375
615.1442260742188,572.9530639648438
534.0001831054688,560.40185546875
553.4204711914062,573.4237060546875
386.4574279785156,567.8526000976562
663.4960327148438,554.6651611328125
493.31658935546875,556.8951416015625
473.4273681640625,554.1026611328125
527.6748657226562,590.1034545898438
588.61865234375,547.3624267578125
541.03271484375,564.67529296875
651.9166259765625,550.3363647460938
644.2463989257812,569.4865112304688
471.7294006347656,587.55419921875
706.5916137695312,535.6258544921875
515.88037109375,553.791015625
808.2606201171875,556.2693481445312
585.2405395507812,552.638671875
550.6055908203125,553.2547607421875
575.2401123046875,548.2529907226562
395.649658203125,560.6986694335938
750.9000854492188,538.3942260742188
603.8074340820312,548.8458251953125
515.5435180664062,553.5798950195312
629.1914672851562,533.9024658203125
481.0867004394531,538.1221923828125
537.025390625,550.15185546875
712.6329345703125,530.9769897460938
723.7198486328125,582.3263549804688
919.9879760742188,531.1392822265625
474.52197265625,529.6578979492188
628.15625,536.7427368164062
585.6998901367188,533.5243530273438
704.0442504882812,526.7899169921875
538.563232421875,554.41650390625
537.8169555664062,541.7792358398438
608.509765625,521.967529296875
504.7666931152344,527.2755126953125
643.2067260742188,530.16015625
677.8588256835938,535.5762329101562
621.6441650390625,552.3843994140625
591.937255859375,542.4393920898438
638.153564453125,518.4374389648438
422.286865234375,535.8394775390625
624.0243530273438,527.8228149414062
310.686279296875,513.3357543945312
600.1334228515625,519.91455078125
389.3080749511719,513.1475830078125
667.4935302734375,533.035400390625
646.8847045898438,559.8539428710938
597.8248291015625,523.6693115234375
330.7120056152344,574.6832885742188
514.6539916992188,528.2005615234375
879.607177734375,542.137451171875
522.3374633789062,531.0399780273438
694.7610473632812,534.0460815429688
490.8961486816406,541.7511596679688
541.349609375,536.31689453125
563.3131713867188,544.1495971679688
498.7033386230469,502.9835510253906
524.3048706054688,513.4849853515625
407.0976257324219,541.6006469726562
434.8651123046875,537.5955200195312
577.117431640625,535.7566528320312
443.3158874511719,530.52392578125
611.4241943359375,516.3434448242188
665.4168701171875,533.2225341796875
633.4813842773438,525.4225463867188
788.985107421875,529.8814086914062
569.960205078125,533.6224365234375
543.242431640625,506.7603454589844
736.5166625976562,520.21435546875
519.6329345703125,508.7085266113281
458.9615783691406,537.2119750976562
681.58740234375,516.0276489257812
653.098388671875,513.9652709960938
548.3167724609375,506.1975402832031
686.7047119140625,522.8738403320312
384.7637023925781,522.53759765625
589.3872680664062,518.9982299804688
327.98614501953125,509.26873779296875
555.0933227539062,514.467041015625
605.649658203125,500.0550231933594
551.3973999023438,488.9691467285156
506.9326477050781,504.0137939453125
630.9854125976562,513.7689208984375
696.7452392578125,531.9660034179688
655.6541137695312,513.0236206054688
759.812744140625,505.2009582519531
676.4398803710938,531.9632568359375
417.795654296875,519.5094604492188
466.82427978515625,514.7741088867188
530.3748779296875,501.78253173828125
664.1712036132812,518.4920654296875
627.3777465820312,500.4727783203125
445.4665222167969,511.1640625
548.1046752929688,532.4507446289062
599.4552001953125,513.7852172851562
517.9202880859375,522.6737670898438
402.61236572265625,522.55126953125
650.0409545898438,520.87548828125
386.510986328125,512.4599609375
473.06195068359375,495.7382507324219
586.1090087890625,503.62493896484375
490.5318908691406,494.9862976074219
512.2899780273438,519.3216552734375
574.73828125,505.3486633300781
420.8180847167969,500.5308532714844
699.7523193359375,507.79345703125
788.0805053710938,508.8187255859375
470.81610107421875,519.1156616210938
375.4404296875,502.63275146484375
595.8782348632812,498.2601318359375
444.9941101074219,514.1805419921875
548.0977783203125,481.90289306640625
350.77001953125,500.61029052734375
731.8176879882812,519.0931396484375
474.84820556640625,500.6783447265625
419.3623046875,491.6225280761719
781.6231079101562,491.15472412109375
652.2039794921875,484.1577453613281
387.46856689453125,501.4140319824219
325.0380554199219,484.68927001953125
442.1235656738281,489.83270263671875
703.3998413085938,502.44140625
529.327880859375,481.1539001464844
591.3701782226562,513.6964111328125
392.22454833984375,494.78558349609375
375.8305969238281,531.08154296875
475.114501953125,505.0906677246094
400.2402648925781,523.1357421875
515.1586303710938,477.3132019042969
