wavelength,PC,PH,PI,PK,PE,PN
589.2264,7.46,10.14,11.56,21.7,14.18,16.62
589.5707,8.6,9.56,11.94,22.64,14.58,16.94
589.915,8.06,9.88,12.74,22.36,14.24,16.88
590.2593,8.02,10.62,12.58,21.86,14.12,17.04
590.6036,7.36,10.1,11.72,21.68,13.64,15.94
590.9479,7.82,10.6,11.84,20.82,13.64,16.98
591.2922,7.86,9.44,12.18,20.88,13.68,17.22
591.6365,7.86,9.18,12.74,21.62,14.88,17.18
591.9808,8.02,9.1,11.82,20.22,13.2,16.46
592.3251,7.3,9.72,10.9,20.98,13.98,16.56
592.6694,8.46,9.98,12.7,21.3,14.08,17.06
593.0137,8.28,9.68,11.38,21.28,13.4,16.9
593.358,8.12,10.8,12.92,21.9,15.08,16.66
593.7023,7.88,10.06,12.22,22.74,14.14,16.82
594.0466,7.18,10.38,11.7,22.42,14.4,16.52
594.3909,7.34,10.78,12.22,21.76,14.22,17.18
594.7352,7.92,9.64,12.12,21.96,15.3,17.24
595.0795,7.58,9.78,11.32,22.38,14.24,16.8
595.4238,9.04,10.16,13.3,23.9,14.74,18.82
595.7681,9.06,11.3,14.08,25.56,16.44,18.86
596.1124,8.64,10.8,13.96,24.64,15.86,17.48
596.4567,8.48,10.58,12.44,23.74,14.9,17.66
596.801,7.04,10.82,12.3,24.92,16.22,18.82
597.1453,8,11.42,12.82,24.28,15.14,17.68
597.4896,8.12,10.78,13.4,25.4,16.04,17.86
597.8339,8.24,10.78,13.24,24.62,14.98,18.52
598.1782,7.84,9.9,14.12,23.86,15.08,18
598.5225,8.38,10.94,12.56,24.96,14.78,18.4
598.8668,8.5,11.34,13.38,24.26,14.96,17.94
599.2111,8.26,11.54,13.54,23.56,15.86,18.38
599.5554,8.38,10.68,12.44,24.06,15.76,17.78
599.8997,6.74,9.84,11.98,23.14,14.54,17.16
600.244,8.08,10.12,13.44,23.24,15.14,17.86
600.5883,8,11.14,12.9,23.8,16,17.88
600.9326,7.14,10.34,12.36,22.42,14.36,18.3
601.2769,8.08,11.06,13.3,24.1,15.72,19.04
601.6212,8.06,10.32,12.56,24.06,15.72,18.4
601.9655,9.16,11.42,12.46,24.22,15.1,17.7
602.3098,8.48,11.22,12.98,24.58,15.84,18.84
602.6541,8.44,10.1,12.78,24.42,16.6,18.12
602.9984,7.92,11.34,13.22,25.24,14.94,19.2
603.3427,8.96,12.28,12.92,27.12,16.08,20.6
603.687,7.9,10.5,13.86,26.08,16.66,19.32
604.0313,8.78,11,14.34,26.12,16.7,19.18
604.3756,9.54,11.56,15.24,28.04,17.76,19.7
604.7199,9.54,12.64,15.32,28.36,17.18,20.2
605.0642,7.72,11.34,13.9,27.46,15.4,19.74
605.4085,7.88,9.9,13.18,27.2,16.24,18.68
605.7528,7.74,11.32,13.7,26.88,17.06,19.14
606.0971,7.76,10.46,13.64,27.5,16.18,20.34
606.4414,7.98,11.78,14.14,27.04,16.96,19.44
606.7857,9.74,12.36,15.12,29.12,17.96,22
607.13,8.12,11.54,14.16,26.74,16.88,19.58
607.4743,7.98,10.94,13.2,25.74,15.66,19.12
607.8186,7.62,9.58,13.56,25.96,16.82,18.98
608.1629,8.12,12.74,13.6,28.06,16.38,19.28
608.5072,9.12,11.82,13.64,25.66,17.58,20.12
608.8515,8.86,11.76,14.2,25.58,16.46,19.88
609.1958,7.76,11.64,13.58,26.24,16.84,19.76
609.5401,9.12,11.28,14.62,26.8,17.44,20.1
609.8844,8.2,11.16,13.84,27.04,17.34,19.82
610.2287,9,11.88,14.88,27.56,17.72,19.96
610.573,9.16,11.92,15.64,27.24,17.88,20.8
610.9173,8.3,11.38,14.72,27.9,17.04,20
611.2616,8.74,11,14.2,28.08,17.22,19.66
611.6059,7.96,11.06,14.3,28.6,17.66,19.66
611.9502,8.86,11.88,15.1,29.46,17.34,21
612.2945,9.78,13.04,16.22,29.92,18.66,21.52
612.6388,9.18,12.36,15.34,30.6,18.68,21.34
612.9831,9.68,12.74,15.52,31.38,18.42,20.64
613.3274,9.18,12.22,15.48,31.12,18.9,21.46
613.6717,9.54,11.4,15.3,31.28,18.92,21.56
614.016,8.78,12.82,15.58,31.22,18.4,21.42
614.3603,8.82,12.06,15.76,30.56,18.62,21.28
614.7046,8.54,12.06,15.62,30,18.08,21.3
615.0489,10.18,11.84,15.94,31.08,19.1,22.16
615.3932,8.5,12.22,14.7,29.02,17.66,20.52
615.7375,9.94,12.92,16.2,29.6,19.28,22.34
616.0818,8.7,11.24,15.26,29.82,17.68,20.54
616.4261,8.68,11.18,15.26,28.8,17.72,19.5
616.7704,9.74,13.44,14.7,29.58,18.24,21.24
617.1147,8.82,12.96,14.62,28.94,18.5,20.52
617.459,8.56,11.9,13.44,28.14,17.7,21.5
617.8033,8.8,11.8,15.26,28.58,18.08,20.56
618.1476,9.58,12.56,15.64,29.2,19.12,20.82
618.4919,8.42,11.16,14.26,28.16,17.28,20.38
618.8362,9.84,12.06,15.12,30.2,18.12,21.84
619.1805,8.96,12.3,15.58,29.9,18.62,22.24
619.5248,8.82,12.82,14.82,31,18.92,21.74
619.8691,9.9,13.12,17.04,32.3,20.52,22.64
620.2134,8.62,11.66,14.66,31.12,18.84,21.02
620.5577,9.9,12.84,16.32,32.16,19.76,22.88
620.902,10.18,12.78,17.56,34.16,20.18,23.68
621.2463,9.92,13.24,16.32,33.86,20.54,23.4
621.5906,9.1,12.46,15.78,33.36,19.96,21.62
621.9349,8.96,12.9,15.12,33.8,18.92,23.24
622.2792,9.82,12.68,15.8,34.14,18.32,21.7
622.6235,9.66,12.74,16.6,34.1,20.1,23.04
622.9678,9.98,13.02,16.2,33.16,20.28,22.14
623.3121,8.4,11.9,14.78,32.02,20.22,21.3
623.6564,9.2,10.56,15.44,31.96,19.22,21.9
624.0007,8.96,13.18,16.24,33.86,18.92,23.36
624.345,8.8,12.38,15.88,33.12,20.74,22.5
624.6893,8.86,12.76,16.94,32.44,19.42,22.84
625.0336,10.1,12.36,15.64,33.14,19.56,21.5
625.3779,10.08,13.98,17.48,33.66,20.74,23.42
625.7222,11.12,13.22,17.72,34.84,20.26,22.92
626.0665,9.88,12.38,16.5,34,19.94,23
626.4108,8.96,12.76,16.22,33.5,19.12,22.26
626.7551,10.56,12.6,16.52,35.34,19.76,22.96
627.0994,10.52,14,17.32,35.96,20.68,23.2
627.4437,9.34,13.62,16.7,35.64,21.08,23.62
627.788,10.64,12.98,17.58,36.76,20.52,23.2
628.1323,10.58,13.6,19.42,37.84,22.32,24.2
628.4766,10.78,14.48,18.78,38.38,22.4,24.18
628.8209,9.4,14.26,17.18,37.38,21.82,23.7
629.1652,10.06,14.26,17.86,38.4,21.08,23.14
629.5095,10.42,13.78,18.28,39.38,23,23.74
629.8538,10.62,14.06,18.3,38.44,21.56,24.94
630.1981,9.94,13.68,17.92,38.82,22.46,24.12
630.5424,9.84,14.12,19.3,38.1,21.5,25.1
630.8867,10.68,13.52,17.94,38.44,21.38,23.8
631.231,11,14.06,19.28,39.76,22.98,24.82
631.5753,10.34,14.34,19.1,37.58,22.36,24.56
631.9196,9.92,13.5,18.26,36.52,21.94,24.58
632.2639,10.7,13.88,18.66,37.28,22.04,24.44
632.6082,11.22,13.88,18.28,38.3,22.24,23.9
632.9525,10.44,14.04,18.68,37.88,22.02,23.72
633.2968,9.88,14.12,18.2,37.64,20.84,24.58
633.6411,9.46,12.94,18.1,38.02,20.86,23.32
633.9854,10.7,13.48,17.6,38.5,22.04,23.92
634.3297,10.42,14.16,19.42,38.98,20.92,24.36
634.674,10.64,13.48,17.36,38.24,21.82,22.92
635.0183,10.94,15.16,19.24,41.34,23.08,25.08
635.3626,9.36,13.42,18.98,40.56,22.1,25.2
635.7069,10.54,13.96,20.08,40.78,22.7,24.52
636.0512,9.56,12.78,17.78,41.06,22.26,24.2
636.3955,9.34,13.92,17.9,40.24,22.24,25.1
636.7398,10.24,13.18,18.18,40.58,22.82,24.78
637.0841,10.88,15.06,19.02,42.04,23.18,24.54
637.4284,11.46,13.84,19.46,41.6,23.52,25.54
637.7727,11.18,13.98,18.5,41.66,23.44,24.84
638.117,8.56,14.96,18.64,40.24,22.02,24.02
638.4613,10.46,14,19.44,42.04,23.22,24.92
638.8056,9.5,13.82,18.62,41.68,22.98,24.72
639.1499,11.34,13.9,19.24,42.28,22.14,24.82
639.4942,11.2,15.54,19.84,41.92,23.78,26.18
639.8385,10.18,14.74,19.22,42.66,23.48,25.88
640.1828,10.38,12.44,19.28,41.82,21.98,24.66
640.5271,10.78,14.94,20.78,45.18,24.46,25.52
640.8714,10.2,14.14,18.9,43.6,23.26,25.8
641.2157,11,14.72,20.3,45.92,23.58,26.58
641.56,11.04,15.48,20.44,47.82,24.86,25.44
641.9043,9.76,15.06,20.54,48.6,23.88,24.86
642.2486,9.48,15.64,21.04,51.98,24.66,27.12
642.5929,10.74,15.6,21.72,53.1,25.5,27.32
642.9372,12.5,17.1,22.94,56.34,27.2,28.44
643.2815,12.74,16.12,22.96,57.6,26.96,28.8
643.6258,10.58,14.9,22.24,60.08,25.38,27.06
643.9701,10.54,16.28,22.82,63.94,26.84,27.44
644.3144,11,15.16,23.94,69.52,26.14,28.44
644.6587,12.08,14.9,24.16,74.72,28.38,29.52
645.003,11.24,15.98,25.08,81.62,28.36,29.04
645.3473,9.88,14.9,26,90.6,28.58,29.46
645.6916,10.94,16.7,27.76,103.26,30.74,32.5
646.0359,11.26,16,30.04,114.52,31.78,31.8
646.3802,13.44,16.64,32.64,132.62,35.56,35.14
646.7245,11.44,16,33.8,150.8,34.94,35.5
647.0688,12.52,16.1,37.76,172.56,38.36,39.24
647.4131,11.68,17.28,40.3,198.64,40.44,41.34
647.7574,11.04,16.98,45.64,231.3,44.76,42.38
648.1017,12.04,18.7,50.34,266.88,48.94,46.9
648.446,11.78,20.18,54.82,305.4,52.94,52.02
648.7903,12.74,19.26,59.74,348.78,56.7,54
649.1346,13.28,21.86,67.54,394.28,62.28,59.92
649.4789,12.6,21.86,73.58,439.08,68.42,64.42
649.8232,13.02,23.44,78.86,488.72,72.4,69.78
650.1675,13.62,23.26,85.04,531.56,77.84,72.96
650.5118,13.98,22.78,90.96,573.2,82.22,77.1
650.8561,13.96,25.32,94,609.92,86.86,81.8
651.2004,14.86,24.92,100.88,643.92,89.42,84.14
651.5447,13.98,25,102.72,666.94,92.78,85.56
651.889,14.04,27.42,106.66,693.52,96.66,88.74
652.2333,14.38,26.18,109.02,707,96.9,90.18
652.5776,12.78,27.96,110.14,722.78,98.2,90.76
652.9219,13.58,28.02,113.8,729.56,99.48,90.98
653.2662,14.94,25.78,114.66,736.74,100.66,93.2
653.6105,14.72,26.56,113.62,746.34,101.14,93.16
653.9548,14.52,26.48,116.32,749.78,101.36,93.18
654.2991,14.54,27.54,117.56,756.5,104,95.92
654.6434,14.54,27.94,118.9,765.66,104.78,96.58
654.9877,14.46,27.1,118.56,768.4,105.88,96.54
655.332,14.54,26.6,119.6,776.44,107.6,97.16
655.6763,14.98,27.98,122.66,783.6,106.82,97.82
656.0206,14.02,27.2,121.62,793.66,107.82,100.1
656.3649,15.44,26.64,122.1,797,107.94,100.24
656.7092,14.44,28.08,122.82,806.16,109.7,99.28
657.0535,15.2,28.7,125.72,813.68,112.22,102
657.3978,14.46,28.84,127.4,821.74,112.72,102.82
657.7421,14.9,29,127.74,828.42,113.96,104.34
658.0864,15.1,28.74,128.1,833.44,113.94,104.64
658.4307,15.74,29.72,130.6,844.42,115.3,105.38
658.775,15.24,29.62,132.36,845.9,114.74,106.78
659.1193,15.22,28.92,132.46,857.68,117.24,107
659.4636,14.5,29.46,133.42,867.72,117.24,106.62
659.8079,14.14,28.8,132.54,871.54,117.48,107.06
660.1522,15.02,29.86,135.44,879.3,120.5,109.32
660.4965,14.9,30.44,136.72,888.38,120.82,108.36
660.8408,15.32,31.16,138.22,891.82,120.76,110.42
661.1851,15.16,29.12,138.36,897.78,120.96,111.4
661.5294,14.78,30.02,139.92,908.64,122.82,110.46
661.8737,15.26,29.38,141.12,913.22,124.5,114.18
662.218,15.16,31.56,143.76,923.3,125.98,112.72
662.5623,15.28,30.32,144.4,928.38,126.04,116.72
662.9066,16.04,31.8,146.28,936.94,128.5,115.84
663.2509,15.7,31.26,148.44,945.74,129.56,117.2
663.5952,15.7,30.34,146.06,949.76,127.52,118.42
663.9395,15.54,31.5,151.3,961.1,131.22,118.54
664.2838,15.18,31.2,147.96,967,129.72,119.64
664.6281,15.54,32.44,152.76,977.5,131.54,120.34
664.9724,17.14,33,153.78,983.72,134.02,122.54
665.3167,16,33.32,154.44,985.98,135.18,120.96
665.661,15.24,32.16,153.86,994.12,135.36,121.9
666.0053,15.46,31.92,157.52,1001.72,135.24,123.78
666.3496,15.84,32.5,156.92,1010.14,136.38,124.94
666.6939,16.7,32.92,157.74,1011.98,137.58,123.8
667.0382,15.18,32.3,159.14,1014.92,138.96,126.02
667.3825,15.64,32.1,158.44,1022.18,138.78,126.34
667.7268,15.86,32.24,160.18,1029.7,139.8,125.64
