wl,skin_mua,skin_mus,fat_mua,fat_mus,muscle_mua,muscle_mus
735,1.906503878,22.90863012933436,0.00576,13.97735109708828,0.1145277,4.627701420704336
736,1.89843596,22.886837586900725,0.00589,13.959688658262179,0.11545079999999999,4.615134688090738
737,1.8903827140000002,22.865095322443267,0.006,13.942072474696515,0.1164867,4.602619074358073
738,1.8824394740000001,22.843403151980752,0.0061600000000000005,13.924502362740412,0.1175235,4.590154302627037
739,1.87460691,22.821760892453273,0.00636,13.906978139719698,0.1189617,4.577740097890394
740,1.8667706460000002,22.80016836171641,0.006540000000000001,13.889499623930385,0.1204029,4.565376186997809
741,1.8589549600000002,22.778625378535427,0.0068,13.87206663463224,0.12257280000000001,4.553062298640819
742,1.8512412740000002,22.75713176257949,0.00707,13.85467899204235,0.12474270000000001,4.540798163337959
743,1.8435295880000004,22.73568733441598,0.00735,13.83733651732879,0.1269126,4.5285835134200045
744,1.8359279020000001,22.714291915504777,0.0076799999999999985,13.82003903260432,0.1290825,4.5164180830153775
745,1.828434754,22.692945328192664,0.00801,13.802786360920125,0.13160909999999998,4.504301608035674
746,1.820847318,22.67164739570771,0.00837,13.785578326259618,0.1341345,4.492233826161333
747,1.8134697180000001,22.650397942153745,0.008740000000000001,13.76841475353228,0.13691129999999999,4.480214476827435
748,1.805986118,22.629196792504853,0.00908,13.75129546856758,0.13968809999999998,4.468243301209643
749,1.7986012919999999,22.608043772599896,0.00941,13.73422029810888,0.14258099999999999,4.456320042210264
750,1.7913124599999999,22.586938709137108,0.00972,13.717189069807468,0.14547300000000002,4.444444444444445
751,1.783644846,22.56588142966871,0.01001,13.700201612216565,0.14892090000000002,4.4326162542265
752,1.776077226,22.544871762595573,0.0103,13.683257754785437,0.1523679,4.420835219556361
753,1.768496172,22.523909537161913,0.01059,13.666357327853504,0.15379980000000004,4.409101090106153
754,1.760917118,22.502994583450047,0.01089,13.649500162644543,0.1552317,4.397413617206904
755,1.75342618,22.482126732375168,0.0112,13.6326860912609,0.156387,4.385772553835358
756,1.745943242,22.461305815680152,0.01155,13.61591494667776,0.1575423,4.374177654600935
757,1.7385449499999999,22.44053166593045,0.0119,13.599186562737467,0.15815849999999998,4.362628675732791
758,1.7311503639999999,22.419804116508953,0.01227,13.58250077414388,0.1587726,4.351125375067007
759,1.7238418580000001,22.399123001610945,0.01258,13.565857416456781,0.1590987,4.339667512033898
760,1.7165113520000002,22.378488156239083,0.01278,13.549256326086319,0.1594248,4.328254847645429
761,1.7091586219999997,22.357899416198396,0.01289,13.5326973402875,0.15907529999999998,4.316887144482759
762,1.701885598,22.337356618091356,0.0129,13.51618029715473,0.1587237,4.305564166683889
763,1.6945751580000001,22.31685959931293,0.01273,13.499705035616374,0.15815970000000001,4.294285679931429
764,1.6873510120000001,22.296408198045743,0.01249,13.48327139542939,0.1575978,4.283051451440476
765,1.6800947220000002,22.276002253255214,0.01206,13.466879217173984,0.1570743,4.2718612499466015
766,1.6728187260000003,22.25564160468475,0.01153,13.450528342248306,0.1565529,4.2607148456939505
767,1.6656268800000003,22.235326092851004,0.01089,13.4342186128632,0.156072,4.249612010423448
768,1.6584270340000002,22.2150555590391,0.01021,13.417949872036983,0.15559109999999995,4.238552517361111
769,1.651317146,22.19482984529798,0.00948,13.401721963590266,0.15510390000000002,4.227536141206471
770,1.644199552,22.174648794435708,0.008709999999999999,13.385534732140824,0.1546188,4.2165626581210995
771,1.637179664,22.15451225001485,0.00793,13.36938802309849,0.1541316,4.205631845717236
772,1.630067782,22.134420056347896,0.00719,13.353281682660105,0.1536453,4.1947434830465244
773,1.6231718940000002,22.114372058492673,0.006529999999999999,13.337215557804491,0.1531581,4.1838973505888415
774,1.616194006,22.094368102247845,0.00596,13.321189496287474,0.15267089999999997,4.173093230241237
775,1.6093314820000002,22.074408034148387,0.005529999999999999,13.30520334663694,0.15209430000000002,4.1623309053069715
