wavelength,oxy,deoxy,water,fat,collagen,mel,musp
758,3.0737,8.3561,0.02536,0.0001,0.045696,169.92,16.047
759,3.1058,8.3241,0.02528,0.0001,0.046248,169.18,16.005
760,3.1379,8.2921,0.0252,0.0001,0.0468,168.44,15.964
761,3.1701,8.1848,0.02512,0.0001,0.046482,167.7,15.923
762,3.2022,8.0775,0.02504,0.0001,0.046164000000000004,166.97,15.883
763,3.2343,7.9466,0.02496,0.0001,0.045846,166.24,15.842
764,3.2665,7.8157,0.024880000000000003,0.0001,0.045528,165.52,15.802
765,3.3007,7.6844,0.0248,0.0001,0.04521,164.8,15.762
766,3.335,7.5531,0.02472,0.0001,0.04457,164.08,15.722000000000001
767,3.3714,7.4214,0.024640000000000002,0.0001,0.043930000000000004,163.37,15.682
768,3.4078,7.2897,0.02456,0.0001,0.04329,162.66,15.642999999999999
769,3.4442,7.1573,0.024480000000000002,0.0001,0.04265000000000001,161.96,15.604000000000001
770,3.4807,7.0249,0.0244,0.0001,0.042010000000000006,161.26,15.565
771,3.5171,6.8925,0.024319999999999998,0.0001,0.04154600000000001,160.57,15.526
772,3.5535,6.7602,0.02424,0.0001,0.041082,159.87,15.487
773,3.5899,6.6278,0.02416,0.0001,0.040618,159.19,15.449000000000002
774,3.6263,6.4954,0.02408,0.0001,0.040153999999999995,158.5,15.41
775,3.6584,6.3631,0.024,0.0001,0.039689999999999996,157.82,15.372
776,3.6906,6.2307,0.02384,0.0001,0.039858,157.15,15.334000000000001
777,3.7184,6.1001,0.02368,0.0001,0.040026,156.47,15.297
778,3.7463,5.9696,0.02352,0.0001,0.040194,155.8,15.259
779,3.7741,5.8642,0.02336,0.0001,0.040362,155.14,15.222000000000001
780,3.8019,5.7588,0.0232,0.0001,0.040530000000000004,154.48,15.185
781,3.8298,5.6534,0.02304,0.0001,0.040358000000000005,153.82,15.148
782,3.8576,5.5481,0.02288,0.0001,0.040186,153.17,15.110999999999999
783,3.8855,5.4427,0.022719999999999997,0.0001,0.040014,152.52,15.075
784,3.9133,5.3373,0.02256,0.0001,0.039841999999999995,151.87,15.038
785,3.938,5.2319,0.0224,0.0001,0.03967,151.23,15.002
786,3.9626,5.1265,0.02224,0.0001,0.039448,150.59,14.966
787,3.984,5.0313,0.022080000000000002,0.0001,0.039226,149.95,14.93
788,4.0054,4.9361,0.02192,0.0001,0.039004000000000004,149.32,14.894
789,4.0268,4.8531,0.021759999999999998,0.0001,0.038782000000000004,148.69,14.859000000000002
790,4.0483,4.7701,0.0216,0.0001,0.038560000000000004,148.06,14.824000000000002
791,4.0697,4.6871,0.02144,0.0001,0.038992000000000006,147.44,14.789000000000001
792,4.0911,4.6041,0.02128,0.0001,0.039424,146.82,14.754000000000001
793,4.1125,4.5211,0.02112,0.0001,0.039856,146.21,14.719000000000001
794,4.1339,4.4381,0.02096,0.0001,0.040288,145.59,14.684000000000001
795,4.1725,4.3689,0.0208,0.0001,0.04072,144.98,14.65
796,4.2111,4.2997,0.020640000000000002,0.0001,0.040602,144.38,14.615
797,4.2667,4.2446,0.02048,0.0001,0.040484,143.78,14.581
798,4.3224,4.1894,0.020319999999999998,0.0001,0.040366,143.18,14.547
799,4.346,4.1342,0.02016,0.0001,0.040248,142.58,14.513
800,4.3696,4.0789,0.02,0.0001,0.04013,141.99,14.48
801,4.4017,4.031000000000001,0.019986,0.0001,0.039217999999999996,141.4,14.446
802,4.4338,3.9832,0.019972,0.0001,0.038306,140.81,14.413
803,4.4552,3.9651,0.019957,0.0001,0.037394,140.23,14.38
804,4.4767,3.947,0.019943000000000002,0.0001,0.036482,139.65,14.347000000000001
805,4.4981,3.9287,0.019929,0.0001,0.03557,139.07,14.314
806,4.5195,3.9105,0.019915000000000002,0.0001,0.03625,138.5,14.280999999999999
807,4.5516,3.8924,0.019901,0.0001,0.03693,137.93,14.249
808,4.5838,3.8743,0.019886,0.0001,0.03761,137.36,14.216
809,4.6052,3.8571,0.019872,0.0001,0.03829,136.8,14.184000000000001
810,4.6266,3.8399,0.019858,0.0001,0.03897,136.23,14.152000000000001
811,4.648,3.8258,0.020263,0.0001,0.039198,135.68,14.12
812,4.6694,3.8118,0.020668000000000002,0.0001,0.039425999999999996,135.12,14.088
813,4.6908,3.7978,0.021072999999999998,0.0001,0.039654,134.57,14.057
814,4.7123,3.7837,0.021478,0.0001,0.039882,134.02,14.025
815,4.7315,3.7696,0.021882,0.0001,0.04011,133.47,13.994000000000002
816,4.7508,3.7555,0.022287,0.0001,0.03969,132.93,13.963
817,4.7894,3.7414,0.022692,0.0001,0.03927,132.39,13.932
818,4.8279,3.7274,0.023097,0.0001,0.03885,131.85,13.901
819,4.8665,3.7212,0.023502000000000002,0.0001,0.03843,131.31,13.87
820,4.905,3.715,0.023906999999999998,0.0001,0.03801,130.78,13.839
821,4.9436,3.7146,0.024725999999999998,0.0001,0.037714000000000004,130.25,13.809000000000001
822,4.9822,3.7141,0.025544,0.0001,0.037418,129.72,13.777999999999999
823,5.0207,3.7138,0.026363,0.0001,0.037122,129.2,13.748
824,5.0593,3.7135,0.027181,0.0001,0.036826,128.68,13.718
825,5.0903,3.7131,0.027999999999999997,0.0001,0.03653,128.16,13.687999999999999
826,5.1214,3.7126,0.028214,0.0001,0.03686,127.64,13.658
827,5.1449,3.7123,0.028428,0.0001,0.03719,127.13,13.629000000000001
828,5.1685,3.7119999999999997,0.028641000000000003,0.0001,0.03752,126.62,13.599
829,5.1921,3.7116,0.028855000000000002,0.0001,0.03785,126.11,13.57
830,5.2156,3.7111,0.029069,0.0001,0.03818,125.61,13.540999999999999
831,5.2392,3.7108,0.029633,0.0001,0.037441999999999996,125.1,13.512
832,5.2627,3.7105,0.030197,0.0001,0.036704,124.6,13.482999999999999
833,5.2863,3.7101,0.030760000000000003,0.0001,0.035966,124.11,13.454
834,5.3099,3.7096,0.031324,0.0001,0.035228,123.61,13.425
835,5.3356,3.7093,0.031888,0.0001,0.03449,123.12,13.395999999999999
836,5.3613,3.7089999999999996,0.032451999999999995,0.0001,0.034784,122.63,13.368
837,5.3891,3.7086,0.033016000000000004,0.0001,0.035078,122.14,13.34
838,5.417000000000001,3.7081,0.033579000000000005,0.0001,0.035372,121.66,13.311
839,5.4448,3.7078,0.034143,0.0001,0.035665999999999996,121.18,13.283
840,5.4727,3.7075,0.034707,0.0001,0.03596,120.7,13.255
841,5.5005,3.7071,0.035536,0.0001,0.036208,120.22,13.228
842,5.5283,3.7066,0.036366,0.0001,0.036455999999999995,119.74,13.2
843,5.5562,3.7060000000000004,0.037195,0.0001,0.036704,119.27,13.172
844,5.584,3.7053,0.038024,0.0001,0.036952,118.8,13.145
845,5.6033,3.7048,0.038853,0.0001,0.0372,118.33,13.117
846,5.6226,3.7043,0.039682999999999996,0.0001,0.037104,117.87,13.09
847,5.6333,3.7036,0.040512,0.0001,0.037008,117.41,13.062999999999999
848,5.644,3.7030000000000003,0.041341,0.0001,0.03691199999999999,116.95,13.036
849,5.6547,3.7024,0.042171,0.0001,0.036815999999999995,116.49,13.009
850,5.6654,3.7019,0.043,0.0001,0.036719999999999996,116.03,12.982000000000001
851,5.6761,3.7013,0.043376,0.0001,0.036536,115.58,12.956
852,5.6868,3.7006,0.043752,0.0001,0.036351999999999995,115.13,12.929
853,5.6976,3.7001,0.044128,0.0001,0.036168,114.68,12.902999999999999
854,5.7083,3.6996,0.044504,0.0001,0.035983999999999995,114.23,12.877
855,5.7265,3.6989,0.04488,0.0001,0.0358,113.79,12.85
856,5.7447,3.6983,0.045255000000000004,0.0001,0.035412,113.35,12.824000000000002
857,5.7704,3.7031,0.045631,0.0001,0.035024,112.91,12.798
858,5.7961,3.7079,0.046007,0.0001,0.034636,112.47,12.773
859,5.8218,3.7129,0.046383,0.0001,0.034248,112.03,12.747
860,5.8475,3.718,0.046758999999999995,0.0001,0.03386,111.6,12.720999999999998
861,5.8732,3.7230000000000003,0.047283,0.0001,0.034384,111.17,12.696
862,5.8989,3.728,0.047807,0.0001,0.034908,110.74,12.67
863,5.9246,3.733,0.048331,0.0001,0.035432,110.31,12.645
864,5.9503,3.7379,0.048855,0.0001,0.035956,109.89,12.62
865,5.9696,3.7429,0.049379,0.0001,0.03648,109.47,12.595
866,5.9889,3.748,0.049902999999999996,0.0001,0.03684,109.05,12.57
867,6.0017,3.753,0.050427,0.0001,0.0372,108.63,12.545
868,6.0146,3.758,0.050950999999999996,0.0001,0.03756,108.21,12.52
869,6.0274,3.7688,0.051475,0.0001,0.03792,107.8,12.495
870,6.0403,3.7797,0.051999000000000004,0.0012907,0.03828,107.38,12.470999999999998
871,6.0531,3.7907,0.052799,0.0010802,0.038242,106.97,12.446
872,6.066,3.8017,0.053599,0.0014888,0.038204,106.57,12.422
873,6.0788,3.8128,0.0544,0.0024506999999999997,0.038166,106.16,12.398
874,6.0917,3.8238,0.0552,0.0027879000000000003,0.038128,105.76,12.374
875,6.1056,3.8348,0.055999999999999994,0.0036663000000000004,0.03809,105.36,12.35
876,6.1195,3.8459,0.055996000000000004,0.0047916,0.0383,104.96,12.325999999999999
877,6.1345,3.8569,0.055991,0.0056339,0.03851,104.56,12.302
878,6.1495,3.8679,0.055987,0.006836,0.03872,104.16,12.277999999999999
879,6.1645,3.8789,0.055982000000000004,0.0076763000000000005,0.03893,103.77,12.254000000000001
880,6.1795,3.89,0.055978,0.008513600000000001,0.03914,103.37,12.231
881,6.1945,3.8991,0.056423,0.0095658,0.039994,102.98,12.207
882,6.2095,3.9082,0.056869,0.011037,0.040848,102.6,12.184000000000001
883,6.2245,3.9172,0.057314,0.012943999999999999,0.041702,102.21,12.161
884,6.2395,3.9262,0.05776,0.014476,0.042556000000000004,101.83,12.138
885,6.2523,3.9353,0.05820499999999999,0.013741,0.043410000000000004,101.44,12.115
886,6.2652,3.9444,0.05865,0.016123,0.043708000000000004,101.06,12.092
887,6.2759,3.9534,0.059096,0.017166,0.044006,100.68,12.069
888,6.2866,3.9624,0.059541,0.017147,0.044304,100.31,12.046
889,6.2973,3.9721,0.059987,0.01966,0.044602,99.931,12.023
890,6.308,3.9819,0.06043200000000001,0.021684000000000002,0.0449,99.557,12.001
891,6.3187,3.9916,0.061189,0.022999000000000002,0.045666000000000005,99.186,11.978
892,6.3294,4.0014,0.061946,0.024856,0.046432,98.816,11.956
893,6.3401,4.0111,0.062702,0.026794,0.047198000000000004,98.448,11.933
894,6.3509,4.0208,0.063459,0.027933999999999997,0.047964,98.08200000000001,11.911
895,6.3616,4.0306,0.064216,0.029236,0.04873,97.71700000000001,11.889000000000001
896,6.3723,4.0403,0.064973,0.030879000000000004,0.049738000000000004,97.355,11.867
897,6.382999999999999,4.0501,0.06573,0.032899,0.050746000000000006,96.994,11.845
898,6.3937,4.0598,0.066486,0.034257,0.051754,96.634,11.823
899,6.4044,4.0697,0.067243,0.035497,0.052762,96.277,11.800999999999998
900,6.4151,4.0795,0.068,0.037897,0.053770000000000005,95.921,11.78
901,6.4258,4.0881,0.068491,0.040981000000000004,0.053824000000000004,95.56700000000001,11.758
902,6.4365,4.0967,0.068983,0.043519999999999996,0.053878,95.215,11.735999999999999
903,6.4472,4.1031,0.069474,0.045506,0.053932,94.86399999999999,11.715
904,6.4579,4.1095,0.069965,0.048083999999999995,0.053986,94.515,11.694
905,6.4665,4.1158,0.070457,0.050898,0.05404,94.16799999999999,11.672
906,6.4751,4.1222,0.070948,0.050724,0.054417999999999994,93.822,11.651
907,6.4815,4.1285,0.071439,0.053075,0.054796,93.478,11.63
908,6.4879,4.1348,0.07193,0.05651900000000001,0.055173999999999994,93.13600000000001,11.609000000000002
909,6.4944,4.1412,0.072422,0.058967,0.055552,92.795,11.588
910,6.5008,4.1477,0.072913,0.061836,0.055929999999999994,92.456,11.567
911,6.5072,4.154,0.076549,0.064884,0.055968,92.118,11.546
912,6.5136,4.1603,0.080184,0.06820599999999999,0.056006,91.78200000000001,11.526
913,6.5201,4.1643,0.08382,0.071219,0.056044,91.448,11.505
914,6.5265,4.1682,0.08745599999999999,0.072603,0.056082,91.115,11.484000000000002
915,6.5318,4.1673,0.09109199999999999,0.077705,0.05612,90.78399999999999,11.464
916,6.5372,4.1663,0.09472699999999999,0.079762,0.055984,90.455,11.443
917,6.5415,4.1654,0.098363,0.08015900000000001,0.055848,90.126,11.423
918,6.5458,4.1646,0.102,0.083712,0.055712,89.8,11.402999999999999
919,6.5501,4.1636,0.10563,0.08640199999999999,0.055576,89.475,11.383
920,6.5543,4.1626,0.10927,0.087858,0.055439999999999996,89.152,11.363
921,6.5586,4.1618,0.11622,0.08868200000000001,0.054818,88.83,11.343
