wl,mm,ml,fat,skin
1059.948242,0.015964206,0.015964206,0.002961784,0.099844499
1061.037231,0.014296314,0.014296314,0.002384903,0.091138348
1062.004517,0.016210723,0.016210723,0.003189515,0.100212204
1062.971191,0.016444731,0.016444731,0.003014587,0.103084311
1064.057861,0.016669078,0.016669078,0.003282195,0.103029574
1065.023071,0.015869354,0.015869354,0.002685289,0.100921441
1065.987671,0.016642481,0.016642481,0.003642803,0.100505069
1066.951538,0.016879856,0.016879856,0.003422588,0.103694415
1068.035156,0.017860798,0.017860798,0.004027948,0.107098283
1068.997681,0.016722393,0.016722393,0.003230453,0.10376062
1069.959473,0.017674721,0.017674721,0.003881884,0.106654077
1071.040771,0.015945561,0.015945561,0.003111211,0.098741598
1072.001221,0.015104448,0.015104448,0.00338799,0.090688817
1072.96106,0.01678528,0.01678528,0.003091503,0.105125586
1074.040039,0.016972552,0.016972552,0.003170344,0.106012363
1074.998413,0.015895431,0.015895431,0.004045193,0.09234283
1075.956177,0.016386594,0.016386594,0.003642703,0.098599064
1077.032715,0.016403532,0.016403532,0.003668772,0.098557103
1077.989014,0.017409881,0.017409881,0.003651539,0.106166704
1078.944702,0.016201737,0.016201737,0.003185055,0.100174019
1080.019043,0.016855559,0.016855559,0.00467921,0.095406747
1080.973267,0.016942185,0.016942185,0.004843239,0.094994037
1082.045898,0.017876187,0.017876187,0.005093598,0.100338305
1082.998779,0.017936736,0.017936736,0.005033763,0.101175466
1083.950928,0.017358583,0.017358583,0.00502151,0.096946621
1085.02124,0.017737481,0.017737481,0.00481866,0.101078445
1085.972046,0.016707556,0.016707556,0.00426983,0.096944917
1087.040771,0.017864063,0.017864063,0.004049079,0.106986291
1087.98999,0.017867589,0.017867589,0.005052797,0.100537447
1089.057251,0.021170025,0.021170025,0.00592689,0.119505434
1090.005127,0.018476307,0.018476307,0.006348436,0.096714754
1090.952271,0.01470256,0.01470256,0.003441411,0.087349668
1092.01709,0.017425419,0.017425419,0.005855951,0.092061539
1092.962769,0.01953139,0.01953139,0.005935714,0.107238836
1094.026001,0.016722844,0.016722844,0.005447847,0.089459292
1094.970337,0.018061681,0.018061681,0.0053731,0.099917337
1096.03186,0.016222226,0.016222226,0.004144791,0.094135307
1096.974854,0.015015302,0.015015302,0.004214243,0.084694316
1098.03479,0.016228013,0.016228013,0.002485757,0.10488106
1098.976196,0.018434323,0.018434323,0.005256341,0.10344717
1100.034546,0.019133692,0.019133692,0.006560198,0.100246916
