wl,skin,fat,mm,ml
627,3.4121999999999995,2.3156125,0.8110875,0.7094424999999999
628,3.3941999999999997,2.3054875,0.8082124999999999,0.7066174999999999
629,3.3761999999999994,2.2953625,0.8053374999999999,0.7037924999999999
630,3.3581999999999996,2.2852374999999996,0.8024625,0.7009675
631,3.3401999999999994,2.2751124999999996,0.7995875,0.6981424999999999
632,3.32306329113924,2.2652278481012655,0.796706329113924,0.6953810126582278
633,3.313696202531645,2.257506329113924,0.7937696202531646,0.6931911392405062
634,3.3043291139240503,2.2497848101265823,0.790832911392405,0.6910012658227848
635,3.294962025316455,2.24206329113924,0.7878962025316455,0.6888113924050632
636,3.2855949367088604,2.2343417721518986,0.784959493670886,0.6866215189873417
637,3.276227848101265,2.226620253164557,0.7820227848101265,0.6844316455696202
638,3.2668607594936705,2.218898734177215,0.779086075949367,0.6822417721518986
639,3.2574936708860753,2.211177215189873,0.7761493670886075,0.6800518987341772
640,3.2468749999999993,2.2036249999999997,0.7733125,0.6779225
641,3.2312499999999993,2.1967499999999998,0.770875,0.6760349999999999
642,3.2156249999999993,2.189875,0.7684374999999999,0.6741474999999999
643,3.1999999999999993,2.183,0.7659999999999999,0.67226
644,3.1843749999999993,2.176125,0.7635624999999999,0.6703724999999999
645,3.1687499999999993,2.1692499999999995,0.7611249999999998,0.6684849999999999
646,3.1531249999999993,2.1623749999999995,0.7586874999999998,0.6665975
647,3.1374999999999993,2.1554999999999995,0.7562499999999999,0.6647099999999999
648,3.12332911392405,2.1485316455696197,0.753945569620253,0.6626227848101265
649,3.1149746835443035,2.141189873417721,0.7521734177215189,0.6597367088607594
650,3.106620253164557,2.133848101265823,0.7504012658227848,0.6568506329113923
651,3.09826582278481,2.126506329113924,0.7486291139240506,0.6539645569620253
652,3.089911392405063,2.1191645569620254,0.7468569620253164,0.6510784810126582
653,3.0815569620253163,2.1118227848101268,0.7450848101265822,0.6481924050632911
654,3.0732025316455696,2.104481012658228,0.7433126582278481,0.645306329113924
655,3.064848101265823,2.0971392405063294,0.741540506329114,0.6424202531645571
656,3.0548846153846156,2.0903846153846155,0.7395307692307693,0.6399769230769231
657,3.041166666666667,2.0850000000000004,0.7369666666666668,0.6385666666666667
658,3.0274487179487184,2.079615384615385,0.7344025641025642,0.6371564102564102
659,3.0137307692307695,2.0742307692307693,0.7318384615384615,0.6357461538461538
660,3.0000128205128207,2.068846153846154,0.729274358974359,0.6343358974358975
661,2.986294871794872,2.0634615384615382,0.7267102564102564,0.632925641025641
662,2.972576923076923,2.058076923076923,0.7241461538461539,0.6315153846153846
663,2.958858974358974,2.0526923076923076,0.7215820512820513,0.6301051282051282
664,2.9494683544303797,2.047278481012658,0.7187683544303798,0.62816582278481
665,2.944405063291139,2.0418354430379746,0.7157050632911393,0.6256974683544303
666,2.9393417721518986,2.0363924050632907,0.7126417721518987,0.6232291139240506
667,2.934278481012658,2.030949367088607,0.7095784810126583,0.6207607594936708
668,2.9292151898734176,2.0255063291139237,0.7065151898734178,0.6182924050632911
669,2.924151898734177,2.02006329113924,0.7034518987341772,0.6158240506329113
670,2.9190886075949365,2.0146202531645567,0.7003886075949367,0.6133556962025316
671,2.914025316455696,2.009177215189873,0.6973253164556962,0.6108873417721519
672,2.9069999999999996,2.0037692307692305,0.6950692307692308,0.6089230769230769
673,2.8986666666666667,1.9983846153846152,0.693351282051282,0.6072948717948717
674,2.8903333333333334,1.9929999999999999,0.6916333333333333,0.6056666666666667
675,2.882,1.9876153846153846,0.6899153846153846,0.6040384615384615
676,2.873666666666667,1.9822307692307692,0.688197435897436,0.6024102564102564
