,wl,C,H,I,K,E,A,N,B
45,851.4,1.9980000000000002,0.9617,0.4629,0.5127,0.4753837837837837,0.5264729729729729,0.44628513513513507,0.40019459459459455
46,858.7,1.93,0.9416,0.4553,0.5029,0.469975,0.5205000000000001,0.442825,0.395
47,866.0,1.895,0.9504,0.4618,0.4928,0.4659794520547945,0.5136931506849315,0.43963150684931507,0.3893739726027397
48,873.2,1.896,0.9229,0.4344,0.4917,0.4548999999999999,0.5002999999999999,0.4274999999999999,0.38314999999999994
49,880.5,1.8519999999999999,0.9109,0.4351,0.4696,0.43843972602739717,0.4854493150684931,0.4125986301369862,0.3690424657534246
50,887.6,1.767,0.9004,0.4293,0.4661,0.4299197183098591,0.4793366197183098,0.40666056338028167,0.3598239436619718
51,894.8,1.851,0.8648,0.4093,0.4451,0.41155000000000014,0.45532500000000026,0.3795000000000003,0.33710000000000023
52,902.0,1.689,0.9045,0.3928,0.4359,0.3990549295774648,0.4418197183098592,0.36834225352112676,0.3243957746478874
53,909.1,1.692,0.8399,0.3762,0.4325,0.3873749999999999,0.42897499999999994,0.36137499999999995,0.31945
54,916.2,1.619,0.8159,0.4037,0.3982,0.3933070422535212,0.43224225352112683,0.37004929577464796,0.32481971830985923
55,923.3,1.6640000000000001,0.8184,0.3931,0.3897,0.3877685714285715,0.4345242857142857,0.3661285714285715,0.32419857142857145
56,930.3,1.679,0.8286,0.3861,0.3873,0.3843281690140845,0.4270352112676057,0.3621323943661972,0.3203887323943662
57,937.3,1.683,0.8254,0.3928,0.3926,0.3618885714285717,0.4043685714285717,0.3452571428571431,0.2994171428571431
58,944.3,1.662,0.785,0.3875,0.3863,0.34328000000000014,0.3801657142857145,0.3252628571428573,0.27103142857142887
59,951.3,1.52,0.7668,0.3945,0.3229,0.34085652173913045,0.3773652173913043,0.325123188405797,0.2779942028985506
60,958.2,1.493,0.6951,0.3445,0.3806,0.34954571428571435,0.3893942857142858,0.33034,0.2886428571428572
61,965.2,1.415,0.8033,0.3509,0.3716,0.3370260869565216,0.37089275362318813,0.3168289855072462,0.27276376811594183
62,972.1,1.5590000000000002,0.7084,0.3686,0.3479,0.3157971014492752,0.3452115942028983,0.29331014492753604,0.2501695652173911
63,978.9,1.4769999999999999,0.7599,0.3252,0.3435,0.32294999999999996,0.3547999999999999,0.292975,0.25257499999999994
64,985.8,1.205,0.7761,0.2873,0.3006,0.27924492753623237,0.3016695652173919,0.2468188405797106,0.18812753623188472
65,992.6,1.215,0.5358,0.2502,0.3455,0.24372499999999978,0.2716499999999999,0.21834999999999988,0.1483499999999998
66,999.4,1.2990000000000002,0.6284,0.371,0.2727,0.2371,0.268,0.2141,0.1424
