wl,EN,EO,NN,NO
813.0506592,0.016923328,0.036261431,0.019905653,0.039221449
814.0181274,0.016720406,0.035987719,0.019691814,0.038936902
814.9851685,0.016896692,0.036231159,0.019878457,0.039190621
815.9518433,0.016749614,0.03607945,0.019730665,0.039038203
817.0561523,0.016732292,0.03612381,0.019722855,0.039092005
818.0219727,0.016509428,0.035698185,0.019468721,0.038635344
818.9874268,0.016499764,0.035720069,0.019463922,0.038662057
819.9525146,0.016699051,0.036015201,0.019677991,0.038971859
821.0549927,0.016519264,0.035806353,0.019493722,0.038758563
822.0192261,0.016489135,0.0356768,0.01944826,0.038613791
822.9830322,0.016435055,0.035587787,0.019388792,0.038519431
823.9465332,0.016419692,0.035476635,0.019358657,0.038393617
825.0471191,0.016435778,0.035530064,0.019380501,0.038452762
826.0097656,0.016312529,0.035404238,0.019256855,0.038326542
826.9720459,0.016386816,0.035476435,0.01933082,0.038398419
827.9338379,0.016362419,0.035453389,0.019306632,0.038375579
829.0326538,0.016409055,0.035444033,0.019344632,0.038357653
829.9936523,0.016277219,0.035247034,0.019202747,0.03815068
830.9542847,0.016253885,0.035253663,0.019184034,0.038161895
832.0516357,0.016227499,0.035175847,0.019149716,0.038076207
833.0114136,0.016262695,0.03522963,0.019187779,0.038132835
833.9708252,0.016318235,0.03525673,0.019238933,0.038155582
835.0667725,0.016277345,0.035193448,0.019194589,0.038088873
836.0252686,0.016298033,0.035142681,0.019204258,0.038027168
836.9834595,0.016123749,0.034877931,0.019016022,0.03774857
837.9411621,0.016335774,0.035253663,0.019253294,0.038149361
839.0352783,0.0163412,0.035333035,0.019270124,0.038240052
839.9921875,0.016368488,0.035151157,0.019265154,0.038026157
840.9486694,0.016388561,0.035263245,0.019299417,0.03815233
842.0413208,0.016319866,0.035106258,0.019217106,0.037981828
842.9970093,0.016525903,0.035421875,0.019440043,0.038314218
843.9522095,0.016218748,0.034849989,0.019092061,0.03770181
845.043457,0.016388012,0.03501241,0.01926027,0.037863184
845.9978638,0.016567595,0.035412168,0.019473808,0.038296643
846.9518433,0.016388153,0.035053647,0.019266748,0.037910712
848.041626,0.016333329,0.034971248,0.019207672,0.037824092
848.994812,0.016503448,0.035214848,0.019389123,0.038078939
849.9475098,0.016465482,0.035099443,0.019339214,0.037951681
851.0358887,0.016591216,0.035265942,0.019471235,0.038124419
851.987793,0.016519643,0.035145337,0.0193921,0.037996309
852.93927,0.016693833,0.035320248,0.019566402,0.038171331
854.0261841,0.016699471,0.035468541,0.01959404,0.03834146
854.9767456,0.016567578,0.035200021,0.019441076,0.038052027
856.0626831,0.016602102,0.035253048,0.019478454,0.038107885
857.0124512,0.016364472,0.034856199,0.019216269,0.037686666
857.961792,0.016237939,0.034691227,0.019083808,0.03751581
859.0462646,0.016232479,0.034513239,0.019051741,0.037311414
859.994751,0.016071341,0.034435921,0.01890353,0.037246925
860.9428101,0.016320692,0.034913209,0.019188033,0.037759103
