Wavelength (nm),PC,PH,PI,PK,WH_lie0_1,WH_lie0_2,,,,,,,
561.2596,319,318,324,326.666666666667,320,317,,,,,,,
561.6035,320,323.333333333333,320.333333333333,327.666666666667,317,320,,,,,,,
561.9474,317,314.666666666667,320,328.666666666667,322,320,,,,,,,
562.2913,318.333333333333,319.666666666667,313.666666666667,331,316,319,,,,,,,
562.6352,318.666666666667,316.666666666667,318.333333333333,330.666666666667,320,326,,,,,,,
562.9791,319,321,315.333333333333,331.666666666667,316,321,,,,,,,
563.323,318.333333333333,322.333333333333,314.666666666667,331.666666666667,325,319,,,,,,,
563.6669,316.333333333333,319.333333333333,315.666666666667,331,321,321,,,,,,,
564.0108,319,317.666666666667,319,334.333333333333,323,317,,,,,,,
564.3547,321.666666666667,320.666666666667,320.333333333333,329,317,316,,,,,,,
564.6986,318,317,316.333333333333,330.666666666667,318,323,,,,,,,
565.0425,320,318,319.666666666667,325,319,320,,,,,,,
565.3864,317,319.666666666667,319.333333333333,333,326,325,,,,,,,
565.7303,318.333333333333,319.666666666667,322.333333333333,331.666666666667,314,320,,,,,,,
566.0742,316.666666666667,315.333333333333,317.666666666667,337,319,328,,,,,,,
566.4181,320.333333333333,317,320.333333333333,333.666666666667,318,322,,,,,,,
566.762,317.333333333333,320,319,331.666666666667,323,319,,,,,,,
567.1059,317.333333333333,321.666666666667,319.666666666667,333.333333333333,321,323,,,,,,,
567.4498,318.333333333333,319.333333333333,321,334,324,322,,,,,,,
567.7937,322.333333333333,318.666666666667,320,334.333333333333,315,323,,,,,,,
568.1376,320.666666666667,318.333333333333,320.333333333333,334.333333333333,322,329,,,,,,,
568.4815,318.333333333333,321.666666666667,321.666666666667,339.333333333333,326,322,,,,,,,
568.8254,319.666666666667,320.333333333333,320,336.666666666667,322,326,,,,,,,
569.1693,317.333333333333,322.333333333333,320.333333333333,334.333333333333,326,327,,,,,,,
569.5132,319.333333333333,321.333333333333,323.666666666667,336,325,324,,,,,,,
569.8571,319.333333333333,322,320.333333333333,334.333333333333,321,323,,,,,,,
570.201,319.666666666667,319,320.666666666667,336,326,320,,,,,,,
570.5449,320.666666666667,320.333333333333,318.333333333333,334.333333333333,324,314,,,,,,,
570.8888,323,320,320.666666666667,335.333333333333,325,330,,,,,,,
